P3a_base_offer,P3a_base_offer_s
3.1124474320664173,0.6511583729433643
-5.0643309322169,-1.0595139554468587
-8.584518194720149,-1.795976003509702
-7.4228475071344935,-1.5529416675620378
-13.242660389343898,-2.770510789588398
-4.622061733925818,-0.9669863552711391
-7.4293688277755345,-1.5543059998538262
-2.2634155762500856,-0.4735315330119999
-2.841379963386571,-0.5944480651499061
1.4674399756433236,0.30700464756044316
-4.5430080328949005,-0.9504474480407389
-5.645522902934915,-1.1811057337116022
-3.2998247243541603,-0.6903597716611616
-5.074336116827585,-1.0616071505527327
-2.9578250620772857,-0.6188096656767089
-5.244416127649861,-1.0971897669774202
4.765321882375413,0.9969579603209082
-5.3029753860132764,-1.109441010485612
-4.001458612877307,-0.8371493291475444
0.347415225334569,0.07268310157913786
-3.428040162596024,-0.7171838571996482
-2.290389147952406,-0.4791747020760612
-7.212251861857044,-1.5088827330030121
-5.620713183349515,-1.1759152664054013
-1.6124150964227093,-0.33733504375971235
-8.495770997125526,-1.7774091097547668
-2.659322957317345,-0.5563597290599144
-0.3175078126485459,-0.0664261405834474
-12.735459935797586,-2.6643988537899896
0.2679786869676576,0.05606410055044921
-7.0945660508382655,-1.484261561756232
0.3185199436868748,0.06663788957343313
-14.831537733856175,-3.102921475725606
-4.688273448217143,-0.9808385770640403
-12.757726394244367,-2.6690572427812507
-5.941817959725029,-1.2430939315211051
0.6815776375049932,0.14259356829608388
0.968352321838546,0.20258999905604227
-5.743590198422058,-1.201622494865691
0.12657591699933013,0.026481079589632514
-4.832704428439546,-1.0110551330499498
-0.7849912981492365,-0.1642288480799147
6.179758498544494,1.2928737197734916
-9.063171932173944,-1.896115651065691
-8.031574227756096,-1.68029401956753
5.294145743613804,1.107593751791609
-7.259711471638746,-1.5188118074566368
-4.212663182722818,-0.881335657450445
-9.720865319205656,-2.0337123704136055
-7.376142436128316,-1.5431704509524788
4.881079249436864,1.0211756797963816
-5.922915646454526,-1.2391393588503261
-2.0251079114911974,-0.42367493795898536
1.0239307613535655,0.2142176223445435
-1.5465539475194074,-0.3235561641172113
-1.5432803908290549,-0.3228712999083361
2.0688344338774267,0.4328230093057149
1.4278241164066519,0.29871657233785925
-1.8740798820669038,-0.39207820643010183
-1.3681211338171528,-0.2862260490916454
-5.3996812959444815,-1.1296729547478814
0.43742783396504814,0.0915147332964635
-0.2177146510800554,-0.045548309186735185
4.283607724573877,0.896178039032542
-7.152310478062265,-1.4963423335920354
-1.9099724671368798,-0.3995873315816164
-4.4799007272208105,-0.9372447028119472
-0.5913904523994359,-0.12372541325235764
-1.8490133383013825,-0.38683400866935963
-6.359283235747781,-1.3304322772533734
-7.3086985857189735,-1.5290604526774474
5.69585277675651,1.1916352990981431
-9.451873754345709,-1.9774363646230744
-5.401844989446302,-1.1301256233217112
-3.391744768559519,-0.7095904599641941
0.6351358973152108,0.13287744340122593
NA,NA
-5.487983445283025,-1.148146739493063
NA,NA
-5.074754450787894,-1.0616946706368104
-6.053977375335526,-1.266558919821557
-2.2038060530295804,-0.46106056249783334
-0.4877936582515636,-0.10205181991725978
-3.399313772048594,-0.7111739790771505
-13.323805881128129,-2.787487322543632
-2.4489486932930435,-0.5123471099037176
-2.3688957130691657,-0.4955991424313034
-3.584599457439294,-0.7499377905348759
-8.301204595474733,-1.7367036699702751
NA,NA
7.5400712575530635,1.5774661706288085
-2.765274658796067,-0.5785259950134122
-11.816763635923465,-2.4721974428707525
2.202162351570506,0.4607166820015176
-3.2791377465045985,-0.6860318274527376
-1.0155436104730404,-0.2124629377626525
-1.595386257045385,-0.3337724225157961
0.16980391825083638,0.03552485480990549
-2.8203989407386527,-0.5900586035225861
-4.171990309276411,-0.8728264431827808
-8.014112231872149,-1.6766407771991647
-5.229535689583669,-1.094076615012173
-3.8820040193086283,-0.8121581090590017
-0.12202849825507854,-0.025529709372069324
-6.076771871317695,-1.2713277800962377
-3.866842292065008,-0.8089861082916144
-5.978039452215243,-1.2506718677369946
-1.0564270325455192,-0.22101620112793846
NA,NA
-3.75455495118267,-0.7854943566116396
-7.104638941679667,-1.4863689217532388
-8.047241965758406,-1.6835718833734141
-8.164400127991879,-1.7080826646675846
NA,NA
-4.7714796761671705,-0.9982462387814699
-0.4457433351071247,-0.09325442796185687
-9.326169038241108,-1.9511375498811225
0.060298306544621774,0.012615071591672836
-0.5571455935761332,-0.11656101062716942
-1.2201117890335929,-0.25526085972435403
NA,NA
NA,NA
-8.521436449766883,-1.782778605865969
-0.24338991621172876,-0.050919858179268716
-3.4772253763861953,-0.7274739470673558
NA,NA
0.6228297766269598,0.13030286705913297
-12.00324839260843,-2.511212113284351
-1.9716219889620938,-0.4124850923311982
2.9347858655919685,0.6139896113545894
-7.550732728790285,-1.5796966681442002
-5.256406424223549,-1.099698269427162
6.86358285523951,1.435937326534214
6.268417452645954,1.3114221520152012
-2.5487634398591603,-0.5332294571202922
-2.316005940169303,-0.4845340178891184
-8.5051243364723,-1.7793659316332295
5.646738906981837,1.1813601351863159
-7.747632663452791,-1.620890308803496
-2.9182960512287295,-0.6105397600959688
-1.668698830814877,-0.3491102225249479
2.6530927288325294,0.5550562964616826
